customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
C000065,87,9,68846.64,1,5,4,10,At Risk
C000066,76,4,49330.44,2,3,3,8,Regular
C000067,29,14,196526.79,3,5,5,13,Regular
C000068,19,3,64187.78,4,2,4,10,Growth
C000069,326,6,121667.17,1,4,5,10,At Risk
C000070,90,10,122122.26,1,5,5,11,At Risk
C000071,207,7,25404.94,1,4,2,7,Regular
C000072,191,2,47565.71,1,1,3,5,Regular
C000073,25,10,156407.34,3,5,5,13,Regular
C000074,57,7,107259.39,2,4,5,11,At Risk
C000075,19,9,177952.37,4,5,5,14,Champions
C000076,278,2,96231.06,1,1,5,7,Regular
C000077,16,12,182547.55,4,5,5,14,Champions
C000078,40,8,90169.11,2,5,5,12,At Risk
C000079,209,6,45096.53,1,4,3,8,Regular
C000080,9,8,111707.34,5,5,5,15,Champions
C000081,11,10,137444.12,4,5,5,14,Champions
C000082,64,2,9301.060000000001,2,1,1,4,Churn Risk
C000083,36,10,160387.77000000002,2,5,5,12,At Risk
C000084,71,6,45044.61,2,4,3,9,Regular
C000085,7,8,107230.81,5,5,5,15,Champions
C000086,28,5,94060.73999999999,3,3,5,11,Regular
C000087,3,7,125138.01000000001,5,4,5,14,Champions
C000088,21,7,93420.05,3,4,5,12,Regular
C000089,36,10,91105.51,2,5,5,12,At Risk
C000090,24,17,205949.13,3,5,5,13,Regular
C000091,19,10,114128.88,4,5,5,14,Champions
C000092,253,8,113528.95000000001,1,5,5,11,At Risk
C000093,198,9,119844.22,1,5,5,11,At Risk
C000094,19,12,81684.63,4,5,4,13,Champions
C000095,19,8,61589.58,4,5,4,13,Champions
C000096,22,14,117551.65,3,5,5,13,Regular
C000097,53,5,24337.699999999997,2,3,2,7,Regular
C000098,27,8,66258.63,3,5,4,12,Regular
C000099,2,13,120553.36,5,5,5,15,Champions
C000100,183,10,96094.89,1,5,5,11,At Risk
C000101,159,12,112319.93,1,5,5,11,At Risk
C000102,116,9,60393.659999999996,1,5,4,10,At Risk
C000103,208,11,130347.05,1,5,5,11,At Risk
C000104,13,11,165812.65,4,5,5,14,Champions
C000105,19,9,73756.59,4,5,4,13,Champions
C000106,108,8,131791.47999999998,1,5,5,11,At Risk
C000107,27,11,169661.91,3,5,5,13,Regular
C000108,17,9,106616.02,4,5,5,14,Champions
C000109,42,7,90711.89,2,4,5,11,At Risk
C000110,11,12,189753.97,4,5,5,14,Champions
C000111,50,12,89272.27,2,5,5,12,At Risk
C000112,14,9,103276.97,4,5,5,14,Champions
C000113,26,7,72756.26000000001,3,4,4,11,Regular
C000114,35,8,180853.28,3,5,5,13,Regular
C000115,82,9,104643.68000000001,2,5,5,12,At Risk
C000116,113,10,143008.97999999998,1,5,5,11,At Risk
C000117,17,9,103362.83,4,5,5,14,Champions
C000118,3,2,24873.36,5,1,2,8,Regular
C000119,1,8,61134.44,5,5,4,14,Champions
C000120,206,5,52971.09,1,3,3,7,Regular
C000121,154,5,88119.75,1,3,5,9,Regular
C000122,82,5,43071.759999999995,2,3,3,8,Regular
C000123,19,17,179884.36,4,5,5,14,Champions
C000124,4,6,82806.55,5,4,4,13,Champions
C000125,55,5,155151.61000000002,2,3,5,10,Regular
C000126,8,7,118795.67,5,4,5,14,Champions
C000127,19,10,94041.65000000001,4,5,5,14,Champions
C000128,97,9,204195.59000000003,1,5,5,11,At Risk
C000129,14,8,178984.39,4,5,5,14,Champions
C000130,12,13,144941.6,4,5,5,14,Champions
C000131,94,5,90556.41,1,3,5,9,Regular
C000132,93,4,106070.97,1,3,5,9,Regular
C000133,371,10,172261.98,1,5,5,11,At Risk
C000134,17,8,58360.97,4,5,4,13,Champions
C000135,17,11,157237.5,4,5,5,14,Champions
C000136,57,4,40579.67,2,3,3,8,Regular
C000137,15,14,153979.52,4,5,5,14,Champions
C000138,13,12,135658.88,4,5,5,14,Champions
C000139,33,11,115154.89,3,5,5,13,Regular
C000140,255,7,74265.06,1,4,4,9,At Risk
C000141,40,8,76977.73999999999,2,5,4,11,At Risk
C000142,8,6,41813.630000000005,5,4,3,12,Regular
C000143,19,11,138085.12,4,5,5,14,Champions
C000144,39,10,116021.75,2,5,5,12,At Risk
C000145,21,10,78512.94,3,5,4,12,Regular
C000146,130,6,40999.520000000004,1,4,3,8,Regular
C000147,255,8,187884.66,1,5,5,11,At Risk
C000148,8,8,43433.55,5,5,3,13,Regular
C000149,139,2,5340.469999999999,1,1,1,3,Churn Risk
C000150,5,7,66931.06,5,4,4,13,Champions
C000151,20,9,76759.70999999999,3,5,4,12,Regular
C000152,113,11,238348.92,1,5,5,11,At Risk
C000153,24,12,133858.8,3,5,5,13,Regular
C000154,7,8,82787.45,5,5,4,14,Champions
C000155,11,6,75863.03,4,4,4,12,Champions
C000156,179,4,50936.64,1,3,3,7,Regular
C000157,50,12,72016.37,2,5,4,11,At Risk
C000158,25,11,152287.51,3,5,5,13,Regular
C000159,176,4,48764.99,1,3,3,7,Regular
C000160,57,8,124135.41,2,5,5,12,At Risk
C000161,18,8,165019.49,4,5,5,14,Champions
C000162,30,7,59224.880000000005,3,4,4,11,Regular
C000163,19,8,156708.63,4,5,5,14,Champions
C000164,5,7,80043.40000000001,5,4,4,13,Champions
C000165,62,10,126925.28,2,5,5,12,At Risk
C000166,2,9,98036.23,5,5,5,15,Champions
C000167,18,9,136228.68,4,5,5,14,Champions
C000168,58,9,64978.729999999996,2,5,4,11,At Risk
C000169,0,10,179670.41,5,5,5,15,Champions
C000170,19,10,176187.80000000002,4,5,5,14,Champions
C000171,63,4,62390.18000000001,2,3,4,9,Regular
C000172,18,13,260624.96,4,5,5,14,Champions
C000173,2,6,106857.82,5,4,5,14,Champions
C000174,9,8,66714.58,5,5,4,14,Champions
C000175,11,9,116416.45999999999,4,5,5,14,Champions
C000176,317,4,57378.39,1,3,4,8,Regular
C000177,50,8,54937.92,2,5,3,10,Regular
C000178,20,8,89637.78,3,5,5,13,Regular
C000179,118,7,73674.62999999999,1,4,4,9,At Risk
C000180,9,5,11837.869999999999,5,3,1,9,Loyal
C000181,82,8,133456.91999999998,2,5,5,12,At Risk
C000182,64,5,53719.91,2,3,3,8,Regular
C000183,78,9,105534.93,2,5,5,12,At Risk
C000184,57,9,247625.21,2,5,5,12,At Risk
C000185,32,6,157596.04,3,4,5,12,Regular
C000186,19,12,153210.37,4,5,5,14,Champions
C000187,157,8,88279.31999999999,1,5,5,11,At Risk
C000188,42,3,40646.2,2,2,3,7,Regular
C000189,15,6,54661.06,4,4,3,11,Regular
C000190,448,5,57289.619999999995,1,3,4,8,Regular
C000191,44,8,94008.3,2,5,5,12,At Risk
C000192,0,9,170050.93,5,5,5,15,Champions
C000193,20,6,97287.79000000001,3,4,5,12,Regular
C000194,17,10,82947.56,4,5,4,13,Champions
C000195,82,10,161713.76,2,5,5,12,At Risk
C000196,175,3,58781.619999999995,1,2,4,7,Regular
C000197,12,11,137748.24,4,5,5,14,Champions
C000198,1,12,109836.73,5,5,5,15,Champions
C000199,69,9,122932.29000000001,2,5,5,12,At Risk
C000200,17,7,112302.82,4,4,5,13,Champions
C000201,50,9,50787.71,2,5,3,10,Regular
C000202,49,9,117638.9,2,5,5,12,At Risk
C000203,2,7,108760.19,5,4,5,14,Champions
C000204,9,12,149312.49,5,5,5,15,Champions
C000205,98,8,114881.52,1,5,5,11,At Risk
C000206,19,8,98707.77,4,5,5,14,Champions
C000207,1215,5,43407.229999999996,1,3,3,7,Regular
C000208,128,3,10027.71,1,2,1,4,Churn Risk
C000209,375,5,40327.47,1,3,3,7,Regular
C000210,318,7,147646.66,1,4,5,10,At Risk
C000211,19,8,40473.44,4,5,3,12,Regular
C000212,9,7,64947.74,5,4,4,13,Champions
C000213,19,6,52196.270000000004,4,4,3,11,Regular
C000214,13,3,64298.44,4,2,4,10,Growth
C000215,26,10,57984.770000000004,3,5,4,12,Regular
C000216,19,3,3440.43,4,2,1,7,Regular
C000217,115,4,53888.19,1,3,3,7,Regular
C000218,12,8,100552.95,4,5,5,14,Champions
C000219,135,14,177800.17,1,5,5,11,At Risk
C000220,7,9,111893.85,5,5,5,15,Champions
C000221,43,12,117177.20999999999,2,5,5,12,At Risk
C000222,37,7,101567.58,2,4,5,11,At Risk
C000223,28,9,168512.94999999998,3,5,5,13,Regular
C000224,4,13,118675.36,5,5,5,15,Champions
C000225,16,10,134276.23,4,5,5,14,Champions
C000226,82,6,25347.56,2,4,2,8,Regular
C000227,54,4,85272.55,2,3,4,9,Regular
C000228,18,10,134820.58000000002,4,5,5,14,Champions
C000229,43,10,104563.77,2,5,5,12,At Risk
C000230,180,11,221721.78000000003,1,5,5,11,At Risk
C000231,7,10,98845.4,5,5,5,15,Champions
C000232,48,9,78544.7,2,5,4,11,At Risk
C000233,478,3,1358.5600000000002,1,2,1,4,Churn Risk
C000234,14,8,52339.6,4,5,3,12,Regular
C000235,115,3,30978.11,1,2,2,5,Churn Risk
C000236,19,7,71130.67,4,4,4,12,Champions
C000237,128,6,64726.509999999995,1,4,4,9,At Risk
C000238,12,7,59924.200000000004,4,4,4,12,Champions
C000239,229,8,83989.0,1,5,4,10,At Risk
C000240,7,13,116769.16,5,5,5,15,Champions
C000241,85,6,64752.0,1,4,4,9,At Risk
C000242,5,9,92165.69,5,5,5,15,Champions
C000243,43,7,74351.39,2,4,4,10,At Risk
C000244,83,9,91148.19,1,5,5,11,At Risk
C000245,47,5,35690.14,2,3,3,8,Regular
C000246,115,8,63117.649999999994,1,5,4,10,At Risk
C000247,4,9,92653.47,5,5,5,15,Champions
C000248,79,6,64688.810000000005,2,4,4,10,At Risk
C000249,90,6,74786.74,1,4,4,9,At Risk
C000250,91,5,189976.15,1,3,5,9,Regular
C000251,120,5,49047.04,1,3,3,7,Regular
C000252,38,13,268575.93,2,5,5,12,At Risk
C000253,34,5,58247.57,3,3,4,10,Regular
C000254,2,2,51364.53999999999,5,1,3,9,Regular
C000255,2,2,38972.87,5,1,3,9,Regular
C000256,415,2,31272.76,1,1,2,4,Churn Risk
C000257,59,4,31253.04,2,3,2,7,Regular
C000258,26,13,154519.22,3,5,5,13,Regular
C000259,504,4,44315.200000000004,1,3,3,7,Regular
C000260,18,8,118066.78,4,5,5,14,Champions
C000261,70,7,69286.67,2,4,4,10,At Risk
C000262,18,8,123814.25,4,5,5,14,Champions
C000263,25,8,89885.19,3,5,5,13,Regular
C000264,5,9,130235.24,5,5,5,15,Champions
C000265,129,9,85259.62,1,5,4,10,At Risk
C000266,4,7,126733.17,5,4,5,14,Champions
C000267,1,10,159842.6,5,5,5,15,Champions
C000268,7,16,135650.4,5,5,5,15,Champions
C000269,19,11,138640.87,4,5,5,14,Champions
C000270,1,5,23770.559999999998,5,3,2,10,Loyal
C000271,4,9,196569.95,5,5,5,15,Champions
C000272,35,12,175361.62,3,5,5,13,Regular
C000273,50,10,73415.96,2,5,4,11,At Risk
C000274,384,3,8673.109999999999,1,2,1,4,Churn Risk
C000275,271,10,90979.69,1,5,5,11,At Risk
C000276,100,7,52107.78999999999,1,4,3,8,Regular
C000277,19,4,37792.049999999996,4,3,3,10,Regular
C000278,12,10,129659.94,4,5,5,14,Champions
C000279,265,6,48839.07,1,4,3,8,Regular
C000280,18,7,68833.79,4,4,4,12,Champions
C000281,12,7,119164.52,4,4,5,13,Champions
C000282,94,8,101006.8,1,5,5,11,At Risk
C000283,39,11,157164.34,2,5,5,12,At Risk
C000284,14,11,108093.6,4,5,5,14,Champions
C000285,19,11,119057.04000000001,4,5,5,14,Champions
C000286,32,12,179980.46,3,5,5,13,Regular
C000287,26,16,178229.37,3,5,5,13,Regular
C000288,79,9,185143.31,2,5,5,12,At Risk
C000289,33,7,92852.31999999999,3,4,5,12,Regular
C000290,28,14,295757.08,3,5,5,13,Regular
C000291,206,10,109632.35,1,5,5,11,At Risk
C000292,5,11,142275.33,5,5,5,15,Champions
C000293,76,7,191761.05000000002,2,4,5,11,At Risk
C000294,47,11,100985.57,2,5,5,12,At Risk
C000295,4,6,34174.76,5,4,3,12,Regular
C000296,90,6,36527.990000000005,1,4,3,8,Regular
C000297,9,11,134882.09,5,5,5,15,Champions
C000298,24,7,94276.08,3,4,5,12,Regular
C000299,8,16,92698.3,5,5,5,15,Champions
C000300,65,7,25770.86,2,4,2,8,Regular
C000301,34,13,113427.23,3,5,5,13,Regular
C000302,19,13,175973.46000000002,4,5,5,14,Champions
C000303,119,5,72384.25,1,3,4,8,Regular
C000304,16,16,191439.15,4,5,5,14,Champions
C000305,377,4,30364.35,1,3,2,6,Regular
C000306,41,12,192052.6,2,5,5,12,At Risk
C000307,142,2,12922.7,1,1,1,3,Churn Risk
C000308,25,6,34985.89,3,4,3,10,Regular
C000309,87,7,94036.72,1,4,5,10,At Risk
C000310,146,10,76493.03,1,5,4,10,At Risk
C000311,1,7,45646.78,5,4,3,12,Regular
C000312,169,11,157404.56,1,5,5,11,At Risk
C000313,5,10,101328.44,5,5,5,15,Champions
C000314,91,14,121159.4,1,5,5,11,At Risk
C000315,28,8,67458.98999999999,3,5,4,12,Regular
C000316,8,8,182732.33000000002,5,5,5,15,Champions
C000317,55,6,159745.9,2,4,5,11,At Risk
C000318,19,12,120779.95999999999,4,5,5,14,Champions
C000319,11,12,193568.81,4,5,5,14,Champions
C000320,82,7,51811.090000000004,2,4,3,9,Regular
C000321,163,7,114306.84000000001,1,4,5,10,At Risk
C000322,19,5,35667.29,4,3,3,10,Regular
C000323,64,7,87230.35,2,4,4,10,At Risk
C000324,43,11,72131.20999999999,2,5,4,11,At Risk
C000325,137,9,99033.24,1,5,5,11,At Risk
C000326,17,5,83683.67,4,3,4,11,Regular
C000327,19,14,193483.87,4,5,5,14,Champions
C000328,48,4,73087.26,2,3,4,9,Regular
C000329,28,9,47525.28,3,5,3,11,Regular
C000330,69,6,63027.16,2,4,4,10,At Risk
C000331,7,14,177918.11,5,5,5,15,Champions
C000332,5,8,66763.08,5,5,4,14,Champions
C000333,12,7,107707.52,4,4,5,13,Champions
C000334,14,3,46500.97,4,2,3,9,Regular
C000335,229,3,7265.5599999999995,1,2,1,4,Churn Risk
C000336,3,7,68439.45,5,4,4,13,Champions
C000337,33,4,38946.47,3,3,3,9,Regular
C000338,34,7,74430.70999999999,3,4,4,11,Regular
C000339,384,8,75207.22,1,5,4,10,At Risk
C000340,18,6,54651.14,4,4,3,11,Regular
C000341,621,3,37796.19,1,2,3,6,Regular
C000342,251,5,65003.78999999999,1,3,4,8,Regular
C000343,270,5,97760.76,1,3,5,9,Regular
C000344,191,5,102454.0,1,3,5,9,Regular
C000345,20,4,90384.99,3,3,5,11,Regular
C000346,15,8,95941.78,4,5,5,14,Champions
C000347,19,6,47397.76,4,4,3,11,Regular
C000348,8,10,116173.14,5,5,5,15,Champions
C000349,19,4,33113.05,4,3,2,9,Loyal
C000350,19,7,65207.35,4,4,4,12,Champions
C000351,20,11,178823.54,3,5,5,13,Regular
C000352,58,11,154286.5,2,5,5,12,At Risk
C000353,49,8,102714.23,2,5,5,12,At Risk
C000354,25,6,67013.38,3,4,4,11,Regular
C000355,38,7,117299.05,2,4,5,11,At Risk
C000356,0,7,99216.4,5,4,5,14,Champions
C000357,0,6,83003.52,5,4,4,13,Champions
C000358,9,14,149601.04,5,5,5,15,Champions
C000359,98,6,74341.98,1,4,4,9,At Risk
C000360,30,14,174334.46,3,5,5,13,Regular
C000361,43,8,81962.37,2,5,4,11,At Risk
C000362,7,13,132898.63999999998,5,5,5,15,Champions
C000363,29,6,33121.63,3,4,2,9,Regular
C000364,239,8,140068.14,1,5,5,11,At Risk
C000365,34,5,50404.590000000004,3,3,3,9,Regular
C000366,7,8,142938.26,5,5,5,15,Champions
C000367,59,7,76659.59999999999,2,4,4,10,At Risk
C000368,64,4,92743.28,2,3,5,10,Regular
C000369,53,8,125914.19,2,5,5,12,At Risk
C000370,2,5,68306.23,5,3,4,12,Regular
C000371,25,10,247134.4,3,5,5,13,Regular
C000372,128,7,93055.27,1,4,5,10,At Risk
C000373,15,6,67184.65,4,4,4,12,Champions
C000374,499,7,146819.04,1,4,5,10,At Risk
C000375,10,12,77995.54000000001,4,5,4,13,Champions
C000376,16,8,120435.21,4,5,5,14,Champions
C000377,1178,1,17220.95,1,1,2,4,Churn Risk
C000378,250,7,65647.31,1,4,4,9,At Risk
C000379,113,7,150195.03,1,4,5,10,At Risk
C000380,3,6,33234.84,5,4,2,11,Loyal
C000381,50,12,310285.27999999997,2,5,5,12,At Risk
C000382,6,10,128340.81999999999,5,5,5,15,Champions
C000383,14,8,117893.28,4,5,5,14,Champions
C000384,140,3,55316.24,1,2,3,6,Regular
C000385,15,6,12034.16,4,4,1,9,Loyal
C000386,43,8,71520.02,2,5,4,11,At Risk
C000387,136,3,37152.399999999994,1,2,3,6,Regular
C000388,1,5,132735.16999999998,5,3,5,13,Regular
C000389,96,6,50361.34,1,4,3,8,Regular
C000390,13,11,162346.04,4,5,5,14,Champions
C000391,19,7,71915.43,4,4,4,12,Champions
C000392,5,10,142851.84,5,5,5,15,Champions
C000393,240,5,47859.64,1,3,3,7,Regular
C000394,11,9,121041.0,4,5,5,14,Champions
C000395,53,14,161625.34,2,5,5,12,At Risk
C000396,23,13,103803.43,3,5,5,13,Regular
C000397,245,2,5671.03,1,1,1,3,Churn Risk
C000398,10,4,98789.74,4,3,5,12,Regular
C000399,0,5,29535.58,5,3,2,10,Loyal
C000400,37,9,179006.13999999998,2,5,5,12,At Risk
C000401,24,3,9598.3,3,2,1,6,Regular
C000402,15,9,138338.78,4,5,5,14,Champions
C000403,6,6,125709.84,5,4,5,14,Champions
C000404,96,7,126727.93,1,4,5,10,At Risk
C000405,208,15,101544.08,1,5,5,11,At Risk
C000406,32,8,37143.56,3,5,3,11,Regular
C000407,113,7,175309.37,1,4,5,10,At Risk
C000408,2,9,144852.68,5,5,5,15,Champions
C000409,43,7,159500.28,2,4,5,11,At Risk
C000410,209,7,47124.630000000005,1,4,3,8,Regular
C000411,37,15,267055.83,2,5,5,12,At Risk
C000412,19,8,67453.6,4,5,4,13,Champions
C000413,20,8,120101.1,3,5,5,13,Regular
C000414,36,9,135831.86000000002,2,5,5,12,At Risk
C000415,10,5,67177.33,4,3,4,11,Regular
C000416,19,15,187340.65,4,5,5,14,Champions
C000417,16,8,61096.100000000006,4,5,4,13,Champions
C000418,16,12,149852.51,4,5,5,14,Champions
C000419,136,7,138193.74,1,4,5,10,At Risk
C000420,15,10,136876.52,4,5,5,14,Champions
C000421,109,7,92537.55,1,4,5,10,At Risk
C000422,7,6,133623.68,5,4,5,14,Champions
C000423,131,11,132355.47,1,5,5,11,At Risk
C000424,85,7,41551.47,1,4,3,8,Regular
C000425,66,6,80611.91,2,4,4,10,At Risk
C000426,19,12,151420.05,4,5,5,14,Champions
C000427,19,9,79956.57,4,5,4,13,Champions
C000428,16,11,294645.22000000003,4,5,5,14,Champions
C000429,89,5,29282.04,1,3,2,6,Regular
C000430,5,7,111628.20999999999,5,4,5,14,Champions
C000431,13,7,83181.7,4,4,4,12,Champions
C000432,112,6,121762.75,1,4,5,10,At Risk
C000433,63,7,39812.14,2,4,3,9,Regular
C000434,31,12,176213.18,3,5,5,13,Regular
C000435,11,8,114141.11,4,5,5,14,Champions
C000436,82,7,49879.95,2,4,3,9,Regular
C000437,5,8,118574.72,5,5,5,15,Champions
C000438,55,7,29424.88,2,4,2,8,Regular
C000439,11,6,69065.8,4,4,4,12,Champions
C000440,2,15,209397.54,5,5,5,15,Champions
C000441,44,13,207646.43,2,5,5,12,At Risk
C000442,1183,1,10082.53,1,1,1,3,Churn Risk
C000443,50,7,51586.0,2,4,3,9,Regular
C000444,70,11,110260.0,2,5,5,12,At Risk
C000445,19,9,232209.05,4,5,5,14,Champions
C000446,16,7,96899.49,4,4,5,13,Champions
C000447,1,6,61418.759999999995,5,4,4,13,Champions
C000448,24,10,58457.45,3,5,4,12,Regular
C000449,16,12,253861.22,4,5,5,14,Champions
C000450,112,12,126050.84,1,5,5,11,At Risk
C000451,16,11,185856.63999999998,4,5,5,14,Champions
C000452,12,3,8229.289999999999,4,2,1,7,Regular
C000453,17,9,155649.39,4,5,5,14,Champions
C000454,41,4,39127.2,2,3,3,8,Regular
C000455,18,8,26780.36,4,5,2,11,Loyal
C000456,10,7,50830.61,4,4,3,11,Regular
C000457,32,9,53092.369999999995,3,5,3,11,Regular
C000458,10,9,69970.71,4,5,4,13,Champions
C000459,51,9,94370.18000000001,2,5,5,12,At Risk
C000460,6,13,249528.1,5,5,5,15,Champions
C000461,143,6,48520.22,1,4,3,8,Regular
C000462,52,3,22283.72,2,2,2,6,Churn Risk
C000463,4,9,101868.08,5,5,5,15,Champions
C000464,13,8,55539.43,4,5,3,12,Regular
C000465,2,7,89207.65,5,4,5,14,Champions
C000466,16,9,134706.13,4,5,5,14,Champions
C000467,101,10,117178.73,1,5,5,11,At Risk
C000468,23,7,135741.31,3,4,5,12,Regular
C000469,151,4,39577.770000000004,1,3,3,7,Regular
C000470,1,3,12083.720000000001,5,2,1,8,Regular
C000471,141,9,87890.2,1,5,4,10,At Risk
C000472,42,9,103393.97,2,5,5,12,At Risk
C000473,19,9,128234.1,4,5,5,14,Champions
C000474,5,5,22634.38,5,3,2,10,Loyal
C000475,334,4,55792.450000000004,1,3,4,8,Regular
C000476,271,7,90120.57,1,4,5,10,At Risk
C000477,22,10,268120.64,3,5,5,13,Regular
C000478,0,9,56053.10999999999,5,5,4,14,Champions
C000479,11,11,155576.13999999998,4,5,5,14,Champions
C000480,50,7,56226.35,2,4,4,10,At Risk
C000481,101,9,109429.59,1,5,5,11,At Risk
C000482,50,9,130362.98000000001,2,5,5,12,At Risk
C000483,6,7,199293.62,5,4,5,14,Champions
C000484,10,6,67515.43,4,4,4,12,Champions
C000485,19,10,178258.68,4,5,5,14,Champions
C000486,1,6,41870.12,5,4,3,12,Regular
C000487,147,6,119400.03,1,4,5,10,At Risk
C000488,72,5,38287.0,2,3,3,8,Regular
C000489,68,6,49305.299999999996,2,4,3,9,Regular
C000490,25,10,130856.26,3,5,5,13,Regular
C000491,23,7,91432.29000000001,3,4,5,12,Regular
C000492,7,10,115878.27,5,5,5,15,Champions
C000493,86,2,76140.09,1,1,4,6,Regular
C000494,168,4,80697.94,1,3,4,8,Regular
C000495,12,13,110569.97,4,5,5,14,Champions
C000496,106,8,118051.43,1,5,5,11,At Risk
C000497,208,7,91469.29,1,4,5,10,At Risk
C000498,82,8,64445.94,2,5,4,11,At Risk
C000499,48,3,42841.51,2,2,3,7,Regular
C000500,24,12,173838.13,3,5,5,13,Regular
C000501,103,4,19603.74,1,3,2,6,Regular
C000502,12,12,134127.29,4,5,5,14,Champions
C000503,98,5,53180.6,1,3,3,7,Regular
C000504,287,3,68346.51,1,2,4,7,Regular
C000505,298,4,42679.020000000004,1,3,3,7,Regular
C000506,6,9,122963.78,5,5,5,15,Champions
C000507,26,8,69446.28,3,5,4,12,Regular
C000508,191,3,81246.13,1,2,4,7,Regular
C000509,19,9,96955.35,4,5,5,14,Champions
C000510,5,8,84571.97,5,5,4,14,Champions
C000511,18,13,98447.67,4,5,5,14,Champions
C000512,225,5,33058.04,1,3,2,6,Regular
C000513,134,10,217314.44999999998,1,5,5,11,At Risk
C000514,7,8,162698.71,5,5,5,15,Champions
C000515,22,11,133054.66,3,5,5,13,Regular
C000516,84,8,96569.54,1,5,5,11,At Risk
C000517,12,7,60214.52,4,4,4,12,Champions
C000518,22,8,51116.23,3,5,3,11,Regular
C000519,31,5,52138.4,3,3,3,9,Regular
C000520,6,13,116820.31,5,5,5,15,Champions
C000521,25,10,69805.44,3,5,4,12,Regular
C000522,5,6,110620.93000000001,5,4,5,14,Champions
C000523,14,10,186409.78999999998,4,5,5,14,Champions
C000524,7,16,318843.98,5,5,5,15,Champions
C000525,2,10,106423.48,5,5,5,15,Champions
C000526,2,8,154200.82,5,5,5,15,Champions
C000527,55,10,135051.18,2,5,5,12,At Risk
C000528,16,4,16333.390000000001,4,3,2,9,Loyal
C000529,82,8,80665.07,2,5,4,11,At Risk
C000530,37,4,70801.09999999999,2,3,4,9,Regular
C000531,54,5,58002.36,2,3,4,9,Regular
C000532,23,8,71983.54000000001,3,5,4,12,Regular
C000533,86,4,74700.77,1,3,4,8,Regular
C000534,8,10,216722.78,5,5,5,15,Champions
C000535,107,5,26624.74,1,3,2,6,Regular
